"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Pick Location",,"Parent Product Images",
78,508,,"00014577","0001457708",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,509,,"00014577","0001457709",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,2582,,"00014577","0001457710",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,2583,,"00014577","0001457711",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
79,2584,,"00014589","0001458900",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422178-71830100.jpg
https://www.leathercompany.co.uk/images/products/1759422180-17917100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422183-06393200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422185-88308300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422188-73335900.jpg",
79,513,,"00014589","0001458901",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422178-71830100.jpg
https://www.leathercompany.co.uk/images/products/1759422180-17917100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422183-06393200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422185-88308300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422188-73335900.jpg",
79,514,,"00014589","0001458902",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422178-71830100.jpg
https://www.leathercompany.co.uk/images/products/1759422180-17917100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422183-06393200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422185-88308300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422188-73335900.jpg",
79,515,,"00014589","0001458903",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422178-71830100.jpg
https://www.leathercompany.co.uk/images/products/1759422180-17917100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422183-06393200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422185-88308300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422188-73335900.jpg",
79,516,,"00014589","0001458904",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422178-71830100.jpg
https://www.leathercompany.co.uk/images/products/1759422180-17917100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422183-06393200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422185-88308300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422188-73335900.jpg",
79,517,,"00014589","0001458905",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422178-71830100.jpg
https://www.leathercompany.co.uk/images/products/1759422180-17917100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422183-06393200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422185-88308300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422188-73335900.jpg",
