PLU,Style,Colour,Size,EAN,Pick Location,ImageURL,FashBCode
0000879700,52926 CW,BROWN,,-,,,9900008797005
0004346100,532-1,,ONE SIZE,-,,https://www.leathercompany.co.uk/images/products/1648477968-95437900.jpg,9900043461008
0004346200,532-4,,ONE SIZE,-,,https://www.leathercompany.co.uk/images/products/1648478139-70349900.jpg,9900043462005
0000202100,5332 20 BOX,BLACK/SNU,XXXS,-,,,9900002021007
0000202101,5332 20 BOX,BLACK/SNU,XXS,-,,,9900002021014
0000202102,5332 20 BOX,BLACK/SNU,XS,-,,,9900002021021
0000202103,5332 20 BOX,BLACK/SNU,S,-,,,9900002021038
0000202104,5332 20 BOX,BLACK/SNU,M,-,,,9900002021045
0000202105,5332 20 BOX,BLACK/SNU,L,-,,,9900002021052
0000202106,5332 20 BOX,BLACK/SNU,XL,-,,,9900002021069
0000202107,5332 20 BOX,BLACK/SNU,2XL,-,,,9900002021076
0000202108,5332 20 BOX,BLACK/SNU,3XL,-,,,9900002021083
0000202109,5332 20 BOX,BLACK/SNU,4XL,-,,,9900002021090
0000202110,5332 20 BOX,BLACK/SNU,5XL,-,,,9900002021106
0000202111,5332 20 BOX,BLACK/SNU,6XL,-,,,9900002021113
0000202112,5332 20 BOX,BLACK/SNU,7XL,-,,,9900002021120
0000202113,5332 20 BOX,BLACK/SNU,8XL,-,,,9900002021137
0000202114,5332 20 BOX,BLACK/SNU,9XL,-,,,9900002021144
0000203500,5332 20 BOX,BROWN/SNU,XXXS,-,,,9900002035004
0000203501,5332 20 BOX,BROWN/SNU,XXS,-,,,9900002035011
0000203502,5332 20 BOX,BROWN/SNU,XS,-,,,9900002035028
0000203503,5332 20 BOX,BROWN/SNU,S,-,,,9900002035035
0000203504,5332 20 BOX,BROWN/SNU,M,-,,,9900002035042
0000203505,5332 20 BOX,BROWN/SNU,L,-,,,9900002035059
0000203506,5332 20 BOX,BROWN/SNU,XL,-,,,9900002035066
0000203507,5332 20 BOX,BROWN/SNU,2XL,-,,,9900002035073
0000203508,5332 20 BOX,BROWN/SNU,3XL,-,,,9900002035080
0000203509,5332 20 BOX,BROWN/SNU,4XL,-,,,9900002035097
0000203510,5332 20 BOX,BROWN/SNU,5XL,-,,,9900002035103
0000203511,5332 20 BOX,BROWN/SNU,6XL,-,,,9900002035110
0000203512,5332 20 BOX,BROWN/SNU,7XL,-,,,9900002035127
0000203513,5332 20 BOX,BROWN/SNU,8XL,-,,,9900002035134
0000203514,5332 20 BOX,BROWN/SNU,9XL,-,,,9900002035141
0000244100,535,BROWN,XXXS,-,,,9900002441003
0000244101,535,BROWN,XXS,-,,,9900002441010
0000244102,535,BROWN,XS,-,,,9900002441027
0000244103,535,BROWN,S,-,,,9900002441034
0000244104,535,BROWN,M,-,,,9900002441041
