Product List Export Only,,,,,,,,,,,,,Date Range 01/07/2007 to 03/07/2026,,,,
Brand,Style,Colour,Size,Description,VAT Rate,Cost,Retail,Season,Supplier,Category,Department,CommCode,,Barcode,SKU,PLU,FashBCode
ASHWOOD,018S,TAN/BRN,5XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085310,9900040853103
ASHWOOD,018S,TAN/BRN,6XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085311,9900040853110
ASHWOOD,018S,TAN/BRN,7XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085312,9900040853127
ASHWOOD,018S,TAN/BRN,8XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085313,9900040853134
ASHWOOD,018S,TAN/BRN,9XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085314,9900040853141
ASHWOOD,025 HAT,BLACK,XXXS,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917100,9900009171002
ASHWOOD,025 HAT,BLACK,XXS,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917101,9900009171019
ASHWOOD,025 HAT,BLACK,XS,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917102,9900009171026
ASHWOOD,025 HAT,BLACK,S,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917103,9900009171033
ASHWOOD,025 HAT,BLACK,M,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917104,9900009171040
ASHWOOD,025 HAT,BLACK,L,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917105,9900009171057
ASHWOOD,025 HAT,BLACK,XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917106,9900009171064
ASHWOOD,025 HAT,BLACK,2XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917107,9900009171071
ASHWOOD,025 HAT,BLACK,3XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917108,9900009171088
ASHWOOD,025 HAT,BLACK,4XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917109,9900009171095
ASHWOOD,025 HAT,BLACK,5XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917110,9900009171101
ASHWOOD,025 HAT,BLACK,6XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917111,9900009171118
ASHWOOD,025 HAT,BLACK,7XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917112,9900009171125
ASHWOOD,025 HAT,BLACK,8XL,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917113,9900009171132
ASHWOOD,025 HAT,BLACK,9XL,STUD FASTEN HAT S /SKIN,20.00,0.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0000917114,9900009171149
ASHWOOD,025 HAT,BRN/WHITE,XXXS,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0001329600,9900013296005
ASHWOOD,025 HAT,BRN/WHITE,XXS,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0001329601,9900013296012
ASHWOOD,025 HAT,BRN/WHITE,XS,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0001329602,9900013296029
ASHWOOD,025 HAT,BRN/WHITE,S,STUD FASTEN HAT S /SKIN,20.00,15.00,39.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0001329603,9900013296036
